rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
5,2024-09-20T00:00:00Z,,1805555,AI,9,614941,6075232,Simpson Creek,Railway,,CN Rail,Closed Bottom Structure,Round Culvert,3,25,No,,Yes,No,,1,0.05,0.9,Yes,2,5,1,Yes,Yes,Deep Fill,High,1.67,3,10,0,5,6,24,Barrier,Replace with New Open Bottom Structure,15,"Although this culvert is on Simpson Creek, it is not currently conveying the main flow and remains mostly dry. Two 1.5 m diameter pipes run under the railway, approximately 30 m apart. The southern pipe is fully embedded with an average embedment depth of 25 cm, while the northern pipe is currently passing all stream flow. This is a high-value stream with extensive gravel areas suitable for steelhead, coho, and chinook salmon spawning upstream. The adjacent landowner has reported recent observations of steelhead spawning and has historical knowledge of chinook spawning approximately 300 m downstream from Nielsen Road.",pscis_phase1.xlsm,1001805555,,,AI,1805555
6,2024-09-25T00:00:00Z,,8300088,AI JO,9,581685,6114465,Tributary to Gershwin Creek,Cormeau Road,,MoTi,Closed Bottom Structure,Round Culvert,0.6,16,No,,,No,,0.4,0,0,No,1,0.5,1.5,No,No,Deep Fill,Low,0.83,3,10,0,5,0,18,Potential,Replace Structure with Streambed Simulation CBS,3,"No visible channel was observed; the area appeared to be a wet draw during the survey, with some sedges present upstream. It is unlikely to provide fish habitat. MoTi chris_culvert_id: 1524657",pscis_phase1.xlsm,1008300088,MoTi chris_culvert_id: 1524657,,AI,8300088
7,2024-09-25T00:00:00Z,,8300015,AI JO,9,581852,6115965,Tributary to Gershwin Creek,Comeau Road,,MoTi,Closed Bottom Structure,Round Culvert,0.6,14,No,,,No,,0.5,0,0,Yes,3,0.95,1,No,No,Deep Fill,Medium,1.58,0,10,0,10,6,26,Barrier,Replace Structure with Streambed Simulation CBS,3,"
This is a newer PVC pipe with a beaver grate on the inlet. Debris clogging about 20 cm of the inlet has caused water to back up upstream of the crossing. Downstream, the drainage is very small, with a fence located approximately 10 m away. Cutthroat trout and Dolly Varden are known to inhabit the lake upstream. MoTi chris_culvert_id: 1524661",pscis_phase1.xlsm,1008300015,MoTi chris_culvert_id: 1524661,,AI,8300015
8,2024-09-25T00:00:00Z,,2024092550,LS JD,9,581313,6115473,Gershwin Creek,Private property,,Private,Closed Bottom Structure,Round Culvert,1.37,6,No,,,No,,0.5,0,0.3,Yes,2,6,5,No,No,Deep Fill,High,4.38,0,10,0,5,6,21,Barrier,Replace with New Open Bottom Structure,15,"The landowner has constructed a bridge over the stream with two culverts, measuring 0.47 m and 0.9 m in diameter. Some flow passes through the culverts while some bypasses them, though it is unclear if fish can navigate the bypassing flow. The bridge appears to provide access to adjacent agricultural fields. High-quality habitat with numerous pools and abundant gravel is present, but strong currents in the culverts due to significant flow likely inhibit fish passage.",pscis_phase1.xlsm,2024092550,,,LS,2024092550
9,2024-09-20T00:00:00Z,,2024092003,AI,9,615326,6075142,Simpson Creek,Private driveway,,Private,Closed Bottom Structure,Round Culvert,2.85,7,Yes,0.2,Yes,No,,1,0,0.3,Yes,3,7,1.5,Yes,Yes,Deep Fill,High,2.46,0,5,0,10,6,21,Barrier,Replace with New Open Bottom Structure,15,"
Three 0.95 m pipes run under a private driveway. The pipe lengths and gradients are estimated, with two pipes appearing fully embedded and one slightly elevated by approximately 30 cm. The stream is channelized with large boulders throughout the property. Beaver activity is evident, with debris at the inlet and three dams ranging from 0.4 to 1 m high within 150 m upstream. The landowner reported previous blockages caused by beavers, requiring the inlet to be cleared and significant amounts of accumulated material to be dredged out.",pscis_phase1.xlsm,2024092003,,,AI,2024092003
10,2024-09-20T00:00:00Z,,2024092001,AI,9,614346,6075065,Simpson Creek,Private driveway,,Private,Open Bottom Structure,Bridge,12,4,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"Steel bridge, potentially for pedestrian or ATV use only, located on a private road on private land.",pscis_phase1.xlsm,2024092001,,,AI,2024092001
11,2024-09-20T00:00:00Z,,2024092002,AI,9,614775,6075153,Simpson Creek,Whalen Road,,MoTi,Open Bottom Structure,Bridge,7.4,1,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,Small wooden foot bridge linking private property on Whalen Road right of way.,pscis_phase1.xlsm,2024092002,,,AI,2024092002
12,2024-09-25T00:00:00Z,,2024092501,AI JO,9,581028,6115707,Gershwin Creek,Private,,Private,Open Bottom Structure,Bridge,13,2,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"
Steel structure suitable for foot traffic or ATV use, located on private land.",pscis_phase1.xlsm,2024092501,,,AI,2024092501
13,2024-09-27T00:00:00Z,,2024092751,LS AI,9,613951,6074629,Simpson Creek,Transmission line road,,,Open Bottom Structure,Ford,9,3,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,Ford across transmission line road which parallels the transmission lines. Fully passable.,pscis_phase1.xlsm,2024092751,,,LS,2024092751
5,2024-09-20T00:00:00Z,58245,,AI,9,615383,6075125,Simpson Creek,Lake Kathlyn Road,,MoTi,Closed Bottom Structure,Round Culvert,2.5,20,No,,,No,,2.2,0,0.3,No,2,7,1.5,Yes,Yes,Deep Fill,High,2.8,3,10,0,5,6,24,Barrier,Replace with New Open Bottom Structure,15,"Two 1.25 m pipes are present and are heavily corroded. Upstream and downstream, the streambanks are heavily modified adjacent to private land, including riparian vegetation removal, stream channelization, and bank armouring. High-value steelhead, coho, and chinook spawning habitat is documented further upstream above the railway crossing. MoTi chris_culvert_id: 1514706, 1514705",pscis_phase2.xlsm,58245,"MoTi chris_culvert_id: 1514706, 1514705",,AI,58245
6,2024-09-25T00:00:00Z,198913,,AI JO,9,581250,6115660,Comeau Creek,Highway 16,,MOTi,Closed Bottom Structure,Round Culvert,1.5,40,No,,,No,,2.5,0.35,0.85,No,3,5,3,No,No,Deep Fill,Medium,3.33,6,10,10,10,6,42,Barrier,Replace with New Open Bottom Structure,15,"
There is a deep outlet pool, suggesting the culvert is undersized for the stream. High-quality gravels were present at the pool’s outlet, and upstream of the crossing, there was high-value habitat with frequent overwintering pools, spawning gravels, and adequate riparian cover with large cottonwoods throughout. This site was part of a habitat confirmation assessment, with the stream surveyed from the downstream railway crossing up to this location and an additional 600 m upstream. Downstream, crossing 198916 consists of a large, long box culvert beneath the railway with minimal flow depth and a swift current, making it unlikely that fish from the mainstem of the Skeena River can access this site until the railway barrier is addressed. Fish sampling at this site captured cutthroat trout and Dolly Varden. MoTi chris_culvert_id: 8300872",pscis_phase2.xlsm,198913,MoTi chris_culvert_id: 8300872,,AI,198913
7,2024-09-18T00:00:00Z,198935,,LS,9,636440,6020756,Tributary to Knapper Creek,Gold creek fsr,,Canfor R07549 6,Closed Bottom Structure,Round Culvert,1.2,20,No,,,No,,4,0.15,0.8,No,1.5,2.7,2.2,Yes,Yes,Deep Fill,Medium,2.25,3,10,5,5,6,29,Barrier,Replace with New Open Bottom Structure,18,"The culvert is deteriorating at the inlet. Large outlet pool where fish were captured during sampling. The stream flows from the outlet pool along the left-hand side into a well-defined channel with gravels suitable for spawning and several pools, providing good habitat. A moderate amount of road fill is present.",pscis_phase2.xlsm,198935,,,LS,198935
