reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel
1,Sandstone creek,8530_ds_ef1,stream,00000ZYMO,440-767000-00000-00000-0000-0000-000-000-000-000-000-000,,,1,45552,GPS General,9,582695,6073848,visible channel,
2,Sandstone Creek,8530_us_ef1,stream,00000ZYMO,440-767000-00000-00000-0000-0000-000-000-000-000-000-000,,,2,45552,GPS General,9,582746,6073899,visible channel,
3,Tributary to Knapper creek,198935_ds_ef1,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,3,45553,GPS General,9,636456,6020753,visible channel,
4,Tributary to Knapper Creek,198935_us,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,4,45553,GPS General,9,636433,6020756,visible channel,
5,Tributary to Knapper Creek,198940_us,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,5,45553,GPS General,9,636684,6020931,visible channel,
6,Tributary to Knapper creek,198935_us_ef1,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,6,45553,GPS General,9,636428,6020753,visible channel,
7,Tributary to Knapper Creek,198940_ds,stream,00000MORR,460-600600-11800-47700-0680-0000-000-000-000-000-000-000,,,7,45553,GPS General,9,636911,6021148,visible channel,
8,Stock creek,195943_ds_ef1,stream,00000BULK,460-589500-00000-00000-0000-0000-000-000-000-000-000-000,,,8,45554,GPS General,9,645437,6035013,visible channel,
9,Stock creek,195943_us_ef1,stream,00000BULK,460-589500-00000-00000-0000-0000-000-000-000-000-000-000,,,9,45554,GPS General,9,645443,6035051,visible channel,
10,Simpson Creek,203122_us,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,10,45555,GPS General,9,614941,6075220,visible channel,
11,Simpson Creek,58264_ds_ef1,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,11,45555,GPS General,9,614296,6074956,visible channel,
12,Simpson Creek,58264_ds_ef2,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,12,45555,GPS General,9,614459,6075212,visible channel,
13,Simpson Creek,58264_us_ef1,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,13,45555,GPS General,9,614278,6074922,visible channel,
14,Simpson Creek,58245_us,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,14,45555,GPS General,9,615378,6075124,visible channel,
15,Simpson Creek,58245_ds,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,15,45555,GPS General,9,615431,6075100,visible channel,
16,Comeau Creek,198916_us,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,16,45560,GPS General,9,580450,6115728,visible channel,
17,Comeau Creek,198916_ds,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,17,45560,GPS General,9,580299,6116046,visible channel,
18,Comeau Creek,198913_us,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,18,45560,GPS General,9,581255,6115635,visible channel,
19,Comeau Creek,198916_ds_ef1,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,19,45561,GPS General,9,580405,6115833,visible channel,
20,Comeau Creek,198916_ds_ef2,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,20,45561,GPS General,9,580385,6115817,visible channel,
21,Comeau Creek,198916_us_ef1,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,21,45561,GPS General,9,580451,6115733,visible channel,
22,Comeau Creek,198913_ds_ef1,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,22,45561,GPS General,9,581249,6115664,visible channel,
23,Comeau Creek,198913_ds_ef2,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,23,45561,GPS General,9,581246,6115674,visible channel,
24,Comeau Creek,198913_us_ef1,stream,00000KISP,400-415300-00000-00000-0000-0000-000-000-000-000-000-000,,,24,45561,GPS General,9,581241,6115617,visible channel,
25,Simpson Creek,58264_us,stream,00000BULK,460-345400-26700-27800-0000-0000-000-000-000-000-000-000,,,25,45562,GPS General,9,614272,6074923,visible channel,
26,Buck Creek,buck_falls,stream,00000BULK,460-636000-00000-00000-0000-0000-000-000-000-000-000-000,,,26,45554,GPS General,9,662825,6007372,visible channel,
