reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments
1,Sandstone creek,8530_ds_ef1,00000ZYMO,0,1,6,172,clear,electrofishing,,1,982,30,2.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,parr,,2,76,98,,
1,Sandstone creek,8530_ds_ef1,00000ZYMO,0,1,6,172,clear,electrofishing,,1,982,30,2.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,42,41,56,,
1,Sandstone creek,8530_ds_ef1,00000ZYMO,0,1,6,172,clear,electrofishing,,1,982,30,2.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,13,78,109,,
1,Sandstone creek,8530_ds_ef1,00000ZYMO,0,1,6,172,clear,visual observation above water,,1,982,30,2.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,fry,,1,40,40,,
2,Sandstone Creek,8530_us_ef1,00000ZYMO,0,2,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,parr,,1,110,110,,
2,Sandstone Creek,8530_us_ef1,00000ZYMO,0,2,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,juvenile,,1,114,114,,
2,Sandstone Creek,8530_us_ef1,00000ZYMO,0,2,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout /Rainbow Trout  hybrid,parr,,6,77,94,,
2,Sandstone Creek,8530_us_ef1,00000ZYMO,0,2,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,fry,,3,53,54,,
2,Sandstone Creek,8530_us_ef1,00000ZYMO,0,2,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,parr,,3,73,76,,
2,Sandstone Creek,8530_us_ef1,00000ZYMO,0,2,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,20,36,52,,
2,Sandstone Creek,8530_us_ef1,00000ZYMO,0,2,6,172,clear,electrofishing,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,4,75,87,,
2,Sandstone Creek,8530_us_ef1,00000ZYMO,0,2,6,172,clear,visual observation above water,,1,753,35,1.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,fry,,3,40,50,,
3,Tributary to Knapper creek,198935_ds_ef1,00000MORR,0,3,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,parr,,4,86,95,,
3,Tributary to Knapper creek,198935_ds_ef1,00000MORR,0,3,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,adult,,1,146,146,,
3,Tributary to Knapper creek,198935_ds_ef1,00000MORR,0,3,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,parr,,1,94,94,,
3,Tributary to Knapper creek,198935_ds_ef1,00000MORR,0,3,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,12,47,62,,
3,Tributary to Knapper creek,198935_ds_ef1,00000MORR,0,3,5,236,clear,electrofishing,,1,439,8,1.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,21,70,110,,
6,Tributary to Knapper creek,198935_us_ef1,00000MORR,0,6,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,adult,,1,146,146,,
6,Tributary to Knapper creek,198935_us_ef1,00000MORR,0,6,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout /Rainbow Trout  hybrid,fry,,1,46,46,,
6,Tributary to Knapper creek,198935_us_ef1,00000MORR,0,6,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,23,46,60,,
6,Tributary to Knapper creek,198935_us_ef1,00000MORR,0,6,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,16,69,105,,
6,Tributary to Knapper creek,198935_us_ef1,00000MORR,0,6,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,juvenile,,1,114,114,,
6,Tributary to Knapper creek,198935_us_ef1,00000MORR,0,6,5,236,clear,electrofishing,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,adult,,1,150,150,,
6,Tributary to Knapper creek,198935_us_ef1,00000MORR,0,6,5,236,clear,visual observation above water,,1,579,30,1.6,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,juvenile,,1,120,120,,
8,Stock creek,195943_ds_ef1,00000BULK,0,8,7.1,535,clear,electrofishing,,1,328,30,2.1,partial enclosure,150,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,adult,,1,159,159,,
8,Stock creek,195943_ds_ef1,00000BULK,0,8,7.1,535,clear,electrofishing,,1,328,30,2.1,partial enclosure,150,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,1,51,51,,
8,Stock creek,195943_ds_ef1,00000BULK,0,8,7.1,535,clear,visual observation above water,,1,328,30,2.1,partial enclosure,150,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,fry,,1,50,50,,
9,Stock creek,195943_us_ef1,00000BULK,0,9,7.1,535,clear,electrofishing,,1,,40,1.4,partial enclosure,150,60,,other,halltech HT2000,,,,,,,,,,0,,NFC,,,1,,,,
11,Simpson Creek,58264_ds_ef1,00000BULK,0,11,6,88,clear,electrofishing,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout /Rainbow Trout  hybrid,parr,,2,85,87,,
11,Simpson Creek,58264_ds_ef1,00000BULK,0,11,6,88,clear,electrofishing,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,parr,,1,93,93,,
11,Simpson Creek,58264_ds_ef1,00000BULK,0,11,6,88,clear,electrofishing,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,juvenile,,2,111,133,,
11,Simpson Creek,58264_ds_ef1,00000BULK,0,11,6,88,clear,electrofishing,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,15,77,110,,
11,Simpson Creek,58264_ds_ef1,00000BULK,0,11,6,88,clear,visual observation above water,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,parr,,1,95,95,,
11,Simpson Creek,58264_ds_ef1,00000BULK,0,11,6,88,clear,visual observation above water,,1,720,25,3.3,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,,,1,,,,
12,Simpson Creek,58264_ds_ef2,00000BULK,0,12,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Coho Salmon,fry,,3,52,61,,
12,Simpson Creek,58264_ds_ef2,00000BULK,0,12,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Coho Salmon,parr,,1,97,97,,
12,Simpson Creek,58264_ds_ef2,00000BULK,0,12,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout /Rainbow Trout  hybrid,parr,,5,75,85,,
12,Simpson Creek,58264_ds_ef2,00000BULK,0,12,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,fry,,1,46,46,,
12,Simpson Creek,58264_ds_ef2,00000BULK,0,12,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,20,34,54,,
12,Simpson Creek,58264_ds_ef2,00000BULK,0,12,7,84,clear,electrofishing,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,13,67,102,,
12,Simpson Creek,58264_ds_ef2,00000BULK,0,12,7,84,clear,visual observation above water,,1,387,30,2.7,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,parr,,1,90,90,,
13,Simpson Creek,58264_us_ef1,00000BULK,0,13,6,88,clear,electrofishing,,1,679,32,3.5,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,fry,,1,64,64,,
13,Simpson Creek,58264_us_ef1,00000BULK,0,13,6,88,clear,electrofishing,,1,679,32,3.5,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Rainbow Trout,parr,,11,69,107,,
13,Simpson Creek,58264_us_ef1,00000BULK,0,13,6,88,clear,visual observation above water,,1,679,32,3.5,partial enclosure,350,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,parr,,1,100,100,,
19,Comeau Creek,198916_ds_ef1,00000KISP,0,19,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,fry,,4,48,58,,
19,Comeau Creek,198916_ds_ef1,00000KISP,0,19,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,parr,,8,81,104,,
19,Comeau Creek,198916_ds_ef1,00000KISP,0,19,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,juvenile,,4,111,126,,
19,Comeau Creek,198916_ds_ef1,00000KISP,0,19,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,adult,,1,176,176,,
19,Comeau Creek,198916_ds_ef1,00000KISP,0,19,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,juvenile,,1,127,127,,
19,Comeau Creek,198916_ds_ef1,00000KISP,0,19,7,304,Lightly Turbid,electrofishing,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,adult,,1,200,200,,
19,Comeau Creek,198916_ds_ef1,00000KISP,0,19,7,304,Lightly Turbid,visual observation above water,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,fry,,1,65,65,,
19,Comeau Creek,198916_ds_ef1,00000KISP,0,19,7,304,Lightly Turbid,visual observation above water,,1,710,34,3.1,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Fish Unidentified Species,parr,,1,110,110,,
20,Comeau Creek,198916_ds_ef2,00000KISP,0,20,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,fry,,3,55,64,,
20,Comeau Creek,198916_ds_ef2,00000KISP,0,20,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,parr,,5,85,110,,
20,Comeau Creek,198916_ds_ef2,00000KISP,0,20,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,juvenile,,3,123,134,,
20,Comeau Creek,198916_ds_ef2,00000KISP,0,20,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Cutthroat Trout,adult,,1,142,142,,
20,Comeau Creek,198916_ds_ef2,00000KISP,0,20,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,fry,,1,61,61,,
20,Comeau Creek,198916_ds_ef2,00000KISP,0,20,7,304,Lightly Turbid,electrofishing,,1,100,7,5.8,partial enclosure,250,60,,other,halltech HT2000,,,,,,,,,,0,,Dolly Varden,juvenile,,1,118,118,,
