reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
1,Sandstone creek,8530_ds_ef1,00000ZYMO,0,1,4.5,5.7,4.7,,,,,4.966666666666666,metre tape,3.3,3,2.2,,,,,2.833333333333333,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6,recording meter,172,recording meter,8.099999999999998,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The stream had good habitat with several pools. The top of the site was located at the culvert outlet, while the bottom was blocked with a stop net and marked with flagging. The site was divided into three sections for sampling, with fish processed separately and returned to the approximate locations where they were captured. All fish captured with a fork length greater than 60mm were tagged with PIT tags."
2,Sandstone Creek,8530_us_ef1,00000ZYMO,0,2,3.8,5.1,3.7,3.2,,,,3.9499999999999993,metre tape,2.5,1.4,1.5,1.6,,,,1.75,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6,recording meter,172,recording meter,8.099999999999998,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The stream had a few pools near the top end of the site, which was marked with flagging. Multiple fish were captured, including potential rainbow trout and cutthroat trout hybrids, with numerous photos taken for documentation. Approximately midway through the site, a metal pole structure was present to prevent large woody debris from moving downstream. The stream contained abundant gravels suitable for spawning.All fish captured with a fork length greater than 60mm were tagged with PIT tags."
3,Tributary to Knapper creek,198935_ds_ef1,00000MORR,0,3,3.6,3.1,4,,,,,3.5666666666666664,metre tape,1.2,1,1,,,,,1.0666666666666669,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,5,recording meter,236,recording meter,8.199999999999998,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electrofishing was conducted only in the culvert's outlet pool due to its high fish density. The downstream habitat appeared to be in good condition. The site length was limited to the size of the outlet pool, approximately 8m, and was marked with flagging tape.
"
4,Tributary to Knapper Creek,198935_us,00000MORR,0,4,2.7,2.2,1.1,3.1,2.1,2.6,3.7,2.5,metre tape,1.2,2.2,2.5,1.3,1.8,1.9,2.7,1.9428571428571433,metre tape,0.55,0.35,0.28,0.35,0.33,0.55,0.35,0.3942857142857143,metre stick,0.5,0.4,0.6,,0.5,metre stick,2,3.5,1,,0.021666666666666664,clinometer,low,,5,recording meter,236,recording meter,8.199999999999998,pH meter (general),clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,trace,21-40%,few,evenly distributed,vascular plants,undercut,fines,,mixed forest,mature forest,undercut,fines,,mixed forest,mature forest,gravels,fines,,3,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,"The stream was surveyed upstream for ~700m upstream. The stream exhibited medium-value habitat with a good flow and abundant gravels throughout. A mature mixed forest, including cottonwood, provided excellent bank stabilization, resulting in deeply undercut banks and intermittent pools up to 60cm deep within the surveyed area. Electrofishing conducted downstream of the crossing captured rainbow trout, cutthroat trout, and Dolly Varden. Upstream sampling captured rainbow trout, cutthroat trout, and cutthroat trout/rainbow trout hybrids. The low-gradient habitat is suitable for cutthroat trout, rainbow trout, and coho juvenile rearing, as well as adfluvial and anadromous spawning. A sizeable beaver dam complex was present at the upper end of the surveyed area, coinciding with the confluence of a tributary mapped in the Freshwater Atlas. There is suspected interconnection between wetlands in this watershed and adjacent watersheds, suggesting the current mapping may misrepresent the watershed's size. This remains unconfirmed, but LiDAR analysis could be used to verify these connections."
5,Tributary to Knapper Creek,198940_us,00000MORR,0,5,3.3,2.5,3.6,1.9,2.6,2.6,,2.75,metre tape,1.1,1.6,0.5,1.1,1.9,1.1,,1.2166666666666668,metre tape,0.21,0.35,0.4,,,,,0.32,metre stick,0.3,0.4,,,0.35,metre stick,3,2,3,,0.026666666666666665,clinometer,low,,5,recording meter,236,recording meter,8.199999999999998,pH meter (general),clear,moderate,sub-dominant,sub-dominant,none,dominant,sub-dominant,sub-dominant,none,21-40%,few,evenly distributed,vascular plants,undercut,fines,,shrubs,shrub,sloping,gravels,fines,shrubs,shrub,gravels,fines,,4,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,"The stream was surveyed in the downstream direction, starting at the upstream crossing on Gold Creek FSR, down to this crossing on road/spur HM7504, approximately 340m. This section of stream provided medium-value habitat, with good flow, abundant gravels for spawning, and suitable rearing areas within undercut banks and occasional deep pools. Evidence of historic beaver activity is present throughout the area surveyed, including one large breached dam near the upstream end of the site. The riparian zone consists of a healthy shrub and herbaceous flood-tolerant plant community. The stream corridor is approximately 40–50m wide, bordered by mature coniferous forest on both sides.  Electrofishing above Gold FSR upstream captured rainbow trout, cutthroat trout, and cutthroat trout/rainbow trout hybrids."
6,Tributary to Knapper creek,198935_us_ef1,00000MORR,0,6,4.1,2.2,3.8,,,,,3.3666666666666667,metre tape,1.5,2,1.4,,,,,1.6333333333333335,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,5,recording meter,236,recording meter,8.199999999999998,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electrofishing was conducted from the culvert to a large pool approximately 30m upstream. The stream featured gravels suitable for spawning. The top of the site was marked with flagging.
7,Tributary to Knapper Creek,198940_ds,00000MORR,0,7,3,3.1,3.5,4,2.8,,,3.28,metre tape,1.4,1.5,1.1,3,0.6,,,1.52,metre tape,0.5,0.4,0.25,,,,,0.3833333333333333,metre stick,0.4,0.4,,,0.4,metre stick,3,4,3,,0.03333333333333333,clinometer,low,,4.9,recording meter,236,recording meter,8.199999999999998,pH meter (general),clear,moderate,sub-dominant,sub-dominant,trace,dominant,trace,sub-dominant,trace,41-70%,few,evenly distributed,mosses,undercut,fines,gravels,mixed forest,mature forest,sloping,gravels,,mixed forest,mature forest,gravels,cobbles,,8,riffle-pool,sinuous,Partially Coupled,frequently confined,,,,,,,,,"The stream was surveyed in the downstream direction, starting at the upstream crossing on Gold Creek FSR, down to this crossing on road/spur HM7504, and then a further 300m downstream. Downstream of this crossing, the stream had good flow, abundant gravels, and extensive overhanging banks with healthy riparian vegetation, providing suitable rearing habitat for coho, rainbow trout, Dolly Varden, and cutthroat trout. Abundant gravels were also present for spawning. A culvert assessment was completed in 2023, along with a UAV flight survey. The road is failing near the culvert, and the pipe is exceptionally long. It is recommended that the crossing be replaced with an open bottom structure or a streambed simulation design. While this crossing poses more of a concern for fish migration, remediation is still recommended."
8,Stock creek,195943_ds_ef1,00000BULK,0,8,5.5,4.5,5,,,,,5,metre tape,1.2,2,3.1,,,,,2.1,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,7.1,recording meter,535,recording meter,7.4,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This stream flows through agricultural and cattle areas and had very low water levels at the time of assessment, reportedly the lowest observed by local landowners. Electrofishing from 30 m downstream of the culvert up to the outlet pool captured only two fish, fewer than expected given the pool’s size and depth, and the stream’s nice habitat. Conductivity was extremely high, potentially due to cattle activity. The bottom of the site was marked with flagging."
9,Stock creek,195943_us_ef1,00000BULK,0,9,2.1,2.5,2.7,3,,,,2.575,metre tape,1.2,1.4,0.9,2,,,,1.375,metre tape,,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,7.1,recording meter,535,recording meter,7.4,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The stream appears to have quality habitat at higher flows, but extremely low flows at the time of assessment resulted in few pools suitable for fish. Electrofishing conducted from the culvert on Barrett Station Road upstream ~40 m but yielded no fish, which was unexpected given the habitat. The large outlet drop at the culvert may be inhibiting fish passage, and extremely high conductivity may be impacting fish presence. The top of the site was marked with flagging."
10,Simpson Creek,203122_us,00000BULK,0,10,6.6,5.9,5,6.9,5.5,7.3,,6.199999999999999,metre tape,2.9,3.5,4.2,3,1.3,6.2,,3.516666666666667,metre tape,0.6,0.45,0.8,0.4,0.8,,,0.61,metre stick,0.7,0.6,0.7,,0.6666666666666665,metre stick,6,5,3.5,2,0.04125,clinometer,low,,6,recording meter,107,recording meter,7.7,pH meter (general),clear,moderate,sub-dominant,sub-dominant,trace,sub-dominant,dominant,sub-dominant,none,41-70%,few,evenly distributed,none,undercut,fines,gravels,mixed forest,mature forest,undercut,fines,gravels,mixed forest,mature forest,gravels,cobbles,,15,riffle-pool,irregular wandering,Decoupled,occasionally confined,,,,,,,,,"The stream was surveyed from Nielsen Road downstream to the railway, covering approximately 950m. The upper 300m from Nielsen Road has a steeper gradient of 5–6%, characterized by straight riffle-cascade sections with confined, channelized, dyke-like banks. Around 300m downstream, the gradient decreases to 2–3%, transitioning into a ~50m section with extensive aggraded material and multiple channels. Below this section, the habitat improves significantly, featuring extensive gravels, deep pools up to 90cm, large woody debris, and diverse cover. This stream is a major contributor to the greater Kathlyn Creek watershed, with flow volumes during the assessment slightly less than the Kathlyn Creek mainstem. The stream provides high-value habitat upstream, particularly in the upper sections, within this known steelhead, coho, and historically Chinook spawning system.  Electrofishing upstream of Nielsen Road captured rainbow trout, while downstream sampling confirmed the presence of coho,  Dolly Varden, rainbow trout, and cutthroat trout/rainbow trout hybrids. The stream is incorrectly mapped in the Freshwater Atlas, and is located south of the mapped channel."
