Stream Crossing Id,My Crossing Reference,Watershed Group,Stream Name,Road Name,Assessment,Reassessment,Habitat Confirmation,Design,Remediation,Fish Sampling,Link Report1,Link Report2,Link Report3,Rank
2880,,Kispiox River,Mooluck Creek,Kuldo FSR,,yes,,,,,url_link,,,
2892,,Kispiox River,,,,yes,,,,,url_link,,,
3042,,Bulkley River,Barren Creek,Barren Creek FSR,,,yes,,,,url_link,,,
3054,,Bulkley River,Johnny David Creek,North road,,,yes,,,,url_link,,,
3067,,Bulkley River,Byman Creek,North Road,,yes,,,,,url_link,,,
3139,,Bulkley River,Trib to McQuarrie Creek,North Road,,,yes,,,,url_link,,,
8478,,Zymoetz River,Copper,Dennis West,,,yes,,,yes,url_link,,,
8518,,Zymoetz River,Copper,McDonnell,,yes,,,,,url_link,,,
8525,,Zymoetz River,Copper,McDonnell,,yes,yes,,,yes,url_link,url_link,,
8527,,Zymoetz River,Copper,McDonnell,,yes,,,,yes,url_link,,,
8529,,Zymoetz River,Copper,McDonnell,,yes,,,,,url_link,,,
8530,,Zymoetz River,Sandstone Creek,Mcdonell FSR,,yes,yes,yes,,yes,url_link,url_link,,
8543,,Zymoetz River,Copper,McDonnell,,,yes,,,,url_link,,,
8547,,Zymoetz River,Copper,McDonnell,,,yes,yes,,yes,url_link,,,
8551,,Zymoetz River,Copper,S.McDonnell,,yes,,,,,url_link,,,
8552,,Zymoetz River,Copper,S.McDonnell,,yes,,,,,url_link,,,
57793,,Bulkley River,Vallee Creek,Walcott Rd,,,yes,,,,url_link,,,
57944,,Bulkley River,Toboggan Creek,Highway 16,,,yes,,,,url_link,,,6
58067,,Bulkley River,Gramophone Creek,Telkwa High Rd,,yes,yes,yes,,yes,url_link,url_link,,
58151,,Bulkley River,McDowell Creek,Woodmere Road,,,yes,,,,url_link,,,
58158,,Bulkley River,McDowell Creek,Highway 16,,yes,,,,yes,url_link,,,
58159,,Bulkley River,McDowell Creek,Woodmere Nursery Road,,,yes,,yes,yes,url_link,,,
58235,,Bulkley River,Kathlyn Creek,Highway 16,,yes,,,,,url_link,,,
58245,,Bulkley River,Simpson Creek,Lake Kathlyn Road (from South end),,,yes,,,,url_link,,,
58264,,Bulkley River,Simpson Creek,Nelson Road,,,yes,,,yes,url_link,,,
123375,,Bulkley River,Tributary to Thompson Creek,Highway 16,,,yes,,,,url_link,,,
123377,,Bulkley River,Thompson Creek,Walcott Road,,yes,yes,yes,,yes,url_link,url_link,,10
123392,,Bulkley River,Lemieux Creek,Quick School Rd,,yes,,,,,url_link,,,
123393,,Bulkley River,Lemieux creek,Highway 16,,yes,,,,,url_link,,,
123426,,Bulkley River,Robin Creek,Highway 16,,yes,,,,,url_link,,,
123445,,Bulkley River,Tyhee Creek,Highway 16,,,yes,yes,,,url_link,,,
123446,,Bulkley River,Tyhee Creek,Tyee Lake Road,,,yes,,,,url_link,,,
123463,,Bulkley River,Victor Creek,Tyee Lake Road,,yes,,,,,url_link,,,
123544,,Bulkley River,McDowell Creek,Private Road,,,yes,,,,url_link,,,
123570,,Bulkley River,Miller Creek,McDonnell FSR,,yes,,,,,url_link,,,
123770,,Bulkley River,John Brown,Highway 16,,,yes,,,yes,url_link,,,9
123775,,Bulkley River,Witset Creek,Highway 16,,,yes,,,,url_link,,,
123776,,Bulkley River,Tributary to Corya Creek,Highway 16,,yes,,,,,url_link,,,
123794,,Bulkley River,Tributary to Blunt Creek,Blunt Creek FSR,,,yes,,,,url_link,,,
123795,,Bulkley River,Tributary to Blunt Creek,Blunt Creek FSR,,,yes,,,,url_link,,,
124420,,Bulkley River,Station Creek,Highway 16,,,yes,yes,,,url_link,,,1
124421,,Bulkley River,Tributary to Waterfall Creek,11th Ave,,,yes,yes,,,url_link,,,
124422,,Bulkley River,Tributary to Waterfall Creek,Highway 16,,,yes,,,,url_link,,,
124456,,Bulkley River,Waterfall Creek,Unnamed,,yes,,,,,url_link,,,
124487,,Bulkley River,Porphyryr Creek,Highway 16,,,yes,,,,url_link,,,2
124500,,Bulkley River,Helps Creek,Lawson Road,,yes,yes,yes,,yes,url_link,url_link,,
124501,,Bulkley River,Moan Creek,Lawson Road,,,yes,,,,url_link,,,
124502,,Bulkley River,Tributary to Bulkley River,Lawson Road,,yes,,,,,url_link,,,
